product_id;product_name;category;series;capacity_m3h;head_m;power_kw;material;application_industry;price_idr;stock;rating;warranty_months
WL-0001;Wilo-CronoLine-IL 600/90-90;Inline Centrifugal;CronoLine-IL;600;90;90;Cast Iron;Water Treatment;197800000;24;4,8;18
WL-0002;Wilo-CronoLine-IL 600/160-90;Inline Centrifugal;CronoLine-IL;600;160;90;Stainless Steel 304;Manufacturing;265600000;5;4,1;6
WL-0003;Wilo-CronoLine-IL 600/15-75;Inline Centrifugal;CronoLine-IL;600;15;75;Duplex Steel;Water Treatment;316500000;19;4,1;24
WL-0004;Wilo-CronoLine-IL 600/55-90;Inline Centrifugal;CronoLine-IL;600;55;90;Cast Iron;Water Treatment;221600000;3;3,6;12
WL-0005;Wilo-CronoLine-IL 600/15-90;Inline Centrifugal;CronoLine-IL;600;15;90;Stainless Steel 304;Pharmaceutical;274100000;20;4,3;6
WL-0006;Wilo-CronoLine-IL 555/155-90;Inline Centrifugal;CronoLine-IL;555;155;90;Duplex Steel;Manufacturing;358200000;23;4,1;24
WL-0007;Wilo-CronoLine-IL 600/35-90;Inline Centrifugal;CronoLine-IL;600;35;90;Stainless Steel 304;Chemical Processing;260200000;19;3,9;18
WL-0008;Wilo-CronoLine-IL 600/170-90;Inline Centrifugal;CronoLine-IL;600;170;90;Cast Iron;Manufacturing;237400000;23;4,6;24
WL-0009;Wilo-CronoLine-IL 600/80-90;Inline Centrifugal;CronoLine-IL;600;80;90;Stainless Steel 316L;Food & Beverage;338300000;5;4;12
WL-0010;Wilo-CronoLine-IL 305/45-37;Inline Centrifugal;CronoLine-IL;305;45;37;Stainless Steel 316L;Water Treatment;149100000;3;4,3;24
WL-0011;Wilo-CronoLine-IL 520/135-90;Inline Centrifugal;CronoLine-IL;520;135;90;Cast Iron;Food & Beverage;219500000;28;4,6;18
WL-0012;Wilo-CronoLine-IL 600/60-75;Inline Centrifugal;CronoLine-IL;600;60;75;Duplex Steel;Food & Beverage;288200000;26;4,7;6
WL-0013;Wilo-CronoLine-IL 370/25-55;Inline Centrifugal;CronoLine-IL;370;25;55;Bronze Fitted;Pharmaceutical;192700000;4;4,8;24
WL-0014;Wilo-CronoLine-IL 390/95-55;Inline Centrifugal;CronoLine-IL;390;95;55;Cast Iron;Pharmaceutical;137000000;10;4,6;18
WL-0015;Wilo-CronoLine-IL 600/190-75;Inline Centrifugal;CronoLine-IL;600;190;75;Duplex Steel;Manufacturing;302000000;23;4,6;6
WL-0016;Wilo-CronoLine-IL 285/160-45;Inline Centrifugal;CronoLine-IL;285;160;45;Cast Iron;Wastewater Treatment;108300000;8;4,3;18
WL-0017;Wilo-CronoLine-IL 600/65-90;Inline Centrifugal;CronoLine-IL;600;65;90;Cast Iron;Manufacturing;228500000;28;4,1;6
